card_name,card_number
Pikachu & Zekrom GX (Secret),184/181
Volbeat,53/100
Code Card - Team Rocket's Mewtwo ex League Battle Deck,
Tyranitar ex,211/197
Nidoking,58/116
Dondozo,061/198
Spiritomb,158/091
Infernape (Team Plasma),17/135
Squirtle,112/132
Florges,66/106
Octillery - 2017 (Diego Cassiraga),33/162
Clefairy,381/SM-P
Mew Star (Delta Species),101/101
Champions Festival - XY27 (2014),XY27
Heatran,088/156
Crispin,171/131
Bisharp (Team Plasma) (73),73/116
Dark Hypno (9),09/82
Hisuian Lilligant VSTAR,018/189
Gardevoir & Sylveon GX (Secret),225/214
Moo-Moo Milk,155/165
Muscle Band - 2014 (Andrew Estrada),121/146
Max Elixir,102/122
Genesect GX,130/214
Marshadow & Machamp GX (198) (Full Art),198/214
Mudkip,58/100
Pyroar,200/193
Galarian Yamask,SV065/SV122
Jellicent,31/101
Blacephalon GX,52/214
Dark Haunter,036/105
Charizard V - SWSH260,SWSH260
Team Aqua's Poochyena,55/95
Swalot,40/106
Vileplume,043/147
Zoroark BREAK,92/162
Galarian Darmanitan V (Full Art),169/185
N's Reshiram,167/159
"Code Card - Fates Collide Theme Deck - ""Sky Guardian"" [Lugia]",
Castform,TG11/TG30
Rapid Strike Urshifu V (Full Art),152/163
Mewtwo GX (Full Art),72/73
Houndour,204/197
Holon Mentor,93/113
Milotic,70
Xerneas BREAK,82/114
Blaine's Last Resort,105/132
Sceptile GX (Full Art),196/214
Guzma - 2018 (Pedro Eugenio Torres),115/147
Jolteon,26/111
Houndoom (15),015/147
Giant Stump - 2007 (Tom Roos),75/92
Warp Point,93/115
Mantine,077/144
Rookidee,SV101/SV122
Glaceon (5),5/100
Miraidon ex - 081/198 - 2024 (Jesse Parker),081/198
Aron,71/123
Lapras,8/92
Rust Syndicate Grunt,112/084
Florges BREAK,104/162
Incineroar GX (Secret),188/181
Random Receiver,138/135
Water Energy (2007-2008 League Promo),
Keldeo EX - 2013 (Clement Lamberton),49/149
Iron Bundle (Holiday Calendar),062/167
Dragonite,119/181
Snivy,BW01
Pumpkaboo,076/203
Toxicroak,31/100
Venomoth,011/102
Metagross,10/146
Virizion GX (Secret),217/214
Excadrill (Secret),246/236
Cynthia's Ambition,GG60/GG70
Lucario (SM - Burning Shadows),71
Groudon EX,XY42
Espeon,16/100
Shaymin,8/95
Rowlet - SM153,SM153
Team Magma's Zangoose,23/95
Galarian Articuno V,058/198
Pikachu,005/012
Chesnaught (Prerelease),XY68
Dedenne,SV051/SV122
Gogoat,019/146
Lurantis GX,15/149
Ilima (Full Art),146/149
Drednaw VMAX,15/73
Samurott,39/113
Togepi,78/101
Buzzwole GX - SM69,SM69
Murkrow,47/100
Mega Kangaskhan ex,164/132
Wooper,81/109
Gumshoos GX (Secret),157/149
Tentacool (Alpha),71/160
Umbreon GX,80/149
Unown (V),V/28
Igglybuff,21/100
Scizor EX (Full Art),119/122
Giratina LV.X,124/127
Blaziken FB Lv.X,142
Melony,GG64/GG70
Hawlucha - 2015 (Rowan Stavenow),63/111
Magcargo GX (Secret),218/214
Skarmory (Team Plasma),87/135
Furret,21/123
Dark Blastoise (3),03/82
Medicham V (Full Art),185/203
Garchomp C - 2010 (Yuta Komatsuda),60/147
White Kyurem,63/214
Cynthia's Gible (ERROR),102/182
Klink (Master Ball Pattern),061/086
Luxray,5/99
Mr. Mime GX,56/168
Beheeyem,062/099
Elesa's Sparkle (Full Art),147/159
Klink,139/086
Rayquaza GX,177a/168
Swellow,072/108
Maintenance,112/130
Raikou & Suicune Legend (Bottom),93/95
Dewgong,036/130
Cherubi,60/99
Code Card - Iono Premium Tournament Collection Box,
Swablu (Delta Species),65/101
Skiploom,097/091
Giratina V - SWSH259,SWSH259
Phoebe (Full Art),161/163
Hypno,025/110
Iron Valiant ex,261/182
Zekrom EX (97 Full Art),97/99
Kirlia,31/108
Fighting Energy (#9),9/30
Clefable ex,082/197
Rampardos ex,100/084
Tyrunt,061/111
Magby,24/109
Eevee & Snorlax GX - SM169,SM169
Gyarados (#30 Holo),30/30
Galarian Mr. Mime,SV020/SV122
Gardevoir GX,SV75/SV94
Dedenne,145/236
Spinarak,64/75
Scyther ex,102/109
Team Rocket's Articuno,051/182
Gastly,065/105
Tyrogue,063/147
Life Forest Prism Star,180/214
Kangaskhan (21),21/64
Jigglypuff,134/214
Armarouge,115/091
Bastiodon,021/123
Zoroark,91/181
Lucario ex - 017,017
Sabrina's Mr. Mime,059/132
Boost Energy,98/115
Metagross,049/098
Muscle Band - 2014 (Haruto Kobayashi),121/146
Gigalith (Master Ball Pattern),048/086
Single Strike Urshifu VMAX (Alternate Art Secret),168/163
Wishiwashi GX (Full Art),133/145
Pupitar,056/147
Light Ledian,024/105
Vaporeon,25/100
Politoed (8),08/75
Survival Brace,164/167
Shiinotic,194/191
Seadra,40/95
Mawile GX (Secret),246/236
Flaaffy,034/111
Raichu GL,31/111
Mudkip,116
Darkness Energy,142/147
Magmortar,016/95
Plusle,6/12
Aggron,80/124
Nidoking,8/112
Dark Flaaffy,034/105
Lickitung,80/127
Steven (Full Art),95/98
Magneton,SV28/SV94
Misty's Psyduck [W Stamped],054/132
White Kyurem GX,48/70
Evosoda - 2018 (Robin Schulz),62/83
Iono - 2025 (Yuya Okita),
Nest Ball,123/149
Bidoof,12/30
Tapu Bulu,065/064
Regice,028/111
Super Potion,090/102
Field Blower,125a/145
Revitalizer - 2017 (Kabu Fukase),70/83
Victini ex - 142,142
Wartortle,43/100
Leafeon VMAX (Secret),204/203
Axew,145/086
Umbreon V - SWSH203,SWSH203
Latias Star,105/107
Jolteon,TG04/TG30
Pokemon Reversal - 2004 (Tsuguyoshi Yamato),87/109
Psychic Energy - 2008 (Tristan Robinson),
Weedle,069/102
Cradily ex,90/95
Thunder Mountain Prism Star - 2019 (Haruki Miyamoto),191/214
Carmine,217/167
Elgyem - BW55,BW55
Voltorb (64),064/147
Sandaconda VMAX,090/198
Venusaur (DPPt Supreme Victors),013/147
Umbreon - BW93,BW93
Dusk Mane Necrozma GX - SM102,SM102
Snorlax,016/034
Victreebel,17/112
Ralts,211/198
Zebstrika (Master Ball Pattern),032/086
Fan Rotom - 2025 (Yuya Okita),
Volcanion - XY164,XY164
Flareon,002/017
Whismur,073/106
Pheromosa & Buzzwole GX,1/214
Fezandipiti ex - 2025 (Jose Cruz Galindo-Resendiz),
Pokemon Collector (#22),22/30
Shiftry,12/100
Darkness Energy (Special),93/109
Holon Scientist - 2007 (Tom Roos),97/113
PlusPower - 2012 (Chase Moloney),96/114
Skuntank,13
Exeggcute (102 Secret Rare),102/101
Poliwhirl,089/165
Mew V,113/264
Wooper (66),066/147
Umbreon VMAX (Alternate Art Secret),215/203
M Audino EX - 2016 (Shintaro Ito),85/124
Cessation Crystal - 2007 (Akira Miyazaki),74/100
Dark Gyarados (Prerelease),08/82
Ralts - 2017 (Diego Cassiraga),91/147
Super Energy Removal 2,134/147
Iron Hands ex,223/182
Code Card - Ancient Origins Elite Trainer Box,
Lycanroc GX,82/181
Reshiram - BW23,BW23
Blastoise VMAX - SWSH103,SWSH103
Palkia - 2009 (David Cohen),26/106
Zweilous,147/086
Bulbasaur (Pokemon Day 2026),001/132
Reverse Valley,110/122
Venusaur VMAX - SWSH102,SWSH102
Venomoth GX (Secret),216/214
Magnetic Metal Energy,085/086
Aromatisse (Master Ball Pattern),039/131
Crobat VMAX,045/072
Munchlax,068/100
Light Dragonair,022/105
Morpeko V-Union - SWSH215,SWSH215
Flaaffy,50/132
Cinderace - SWSH112 (Prerelease),SWSH112
Metagross (50),50/98
Kricketune V,TG12/TG30
Arven's Greedent,159/182
Lucario,61/146
Croconaw (32),032/111
Altaria ex,253/182
Staryu,56/64
Dark Ivysaur - 6,006/009
Mega Absol ex,161/132
Voltorb,80/109
Meowstic EX,37/83
Graveler,2/11
Mudkip,011/017
Meowth,102/101
Bisharp,143/086
Ninetales (H19),H19/H32
Raikou,79/214
Zapdos ex - 033 (EX Collector's Window Tins),033
Lightning Energy (2011 Pokemon League),
Heal Energy - 2005 (Michael Gonzalez),94/107
Battle Frontier - 2006 (Jason Klaczynski),75/106
Magnemite,008/012
Jirachi,9/107
Thundurus - 209 (Pokemon Center Exclusive),209
Rika,241/182
Pikachu,013/017
Heliolisk,229/217
Vileplume - 2011 (Ross Cawthon),24/90
Boss's Orders [Corbeau],183/217
Victini V,021/163
Blaine's Vulpix,065/132
Cynthia & Caitlin (Full Art),228/236
Golbat,31/107
Octillery,TG03/TG30
Computer Error (Rocket's Secret Machine),16/53
Metal Energy (Special),88/108
Venusaur EX,1/83
Tauros,12/100
Giovanni's Charisma - 161/165 - 2024 (Fernando Cifuentes),161/165
Crobat V - SWSH110,SWSH110
Talonflame,010/119
Totodile,085/105
Water Cube 01,140/147
Fighting Energy,128/130
Hitmonchan,008/130
Holon's Voltorb - 2007 (Jun Hasebe),71/113
Dratini,35/70
Haunter (42),42/99
Dragonite GX,37/70
Raikou,003/017
Iron Thorns ex,196/167
Dawn Wings Necrozma - SM123,SM123
Zorua (Master Ball Pattern),061/086
Slowpoke & Psyduck GX,35/236
Marshtomp,015/017
Explorer's Guidance,200/162
Volkner (Full Art),156/156
Caitlin (Secret),213/198
Natu,067/111
Vibrava,46/97
Victini ex,033/197
Raikou & Suicune Legend (Top),92/95
Quaxwell - 083,083
Professor Oak,088/102
Togekiss,138/214
Swinub,57/64
Salamence ex,103/107
TV Reporter,011/017
Rare Candy (Secret),165/145
Dedenne GX (Full Art),195/214
Electrode,5/101
Charmeleon,099/097
Gengar EX,34/119
Pupitar,090/165
Dewott (Master Ball Pattern),022/086
Empoleon BREAK,XY134
Deoxys (Delta Species - Attack Forme),3/110
Surprise! Time Machine - 2006 (Jimmy Ballard),91/109
Ho-Oh Ex (119 Full Art),119/124
Mesprit,14/123
Mimikyu,112/181
Recycle Energy,105/111
Gallade E4 Lv.X,106/111
Lightning Energy (#11),11/30
Switch Raft (Secret),77/70
Darkrai EX (107 Full Art),107/108
Incineroar,026/149
Pikachu,020/108
Dark Feraligatr,005/105
Ash's Friendship (Ash vs Team Rocket Deck Kit),025/026
Tropical Wind - 026 (2004 World Championships) [Participation],026
Eevee,RC14/RC25
Umbreon GX,SV69/SV94
Golem,45/83
Probopass,096/088
Ambipom,3/123
Heatran GX (Secret),238/236
Deoxys (Delta Species - Defense Forme),4/110
Registeel Star,92/92
Float Stone,99/116
Ninjask,18/97
Star Piece,139/144
Super Scoop Up - 2010 (Mychael Bryan),83/95
Machoke,051/110
Tapu Lele - SM45,SM45
Forest of Vitality,109/088
Evosoda - 2014 (Trent Orndorff),116/146
Mr. Mime,29/95
Team Aqua's Great Ball,27/34
Sceptile,004/017
M Beedrill EX,XY158
Latias - SM87,SM87
Tangela,30/112
Venusaur & Snivy GX - SM229,SM229
Throh (Master Ball Pattern),050/086
Darumaka,097/086
Mightyena (Delta Species),24/113
Ninetales ex,186/165
Pikachu (#2),2/30
Arcanine,036/110
Code Card - Celebrations Ultra-Premium Collection,
Misty's Seel,091/132
Marshadow - SM93,SM93
Flygon - BW53 (Prerelease),BW53
Team Rocket's Crobat ex,242/182
Nidoran F (82),082/144
Friend Ball,126/144
Bayleef,002/122
Espeon,089/214
Garchomp,62/131
Ninetales ex,038/165
Minun,48/113
Misty's Favor,202/236
Blaziken GX (Full Art),153/168
Mantyke,189/182
Raichu (#19 Non-Holo),19/30
Poliwrath (9),09/75
Emolga (Full Art),RC23/RC25
Lileep,145/142
Poncho-wearing Pikachu,38/SM-P
Baltoy - 2009 (Stephen Silvestro),60/106
Xerneas GX (Secret),139/131
Ralts,139/214
Magikarp,035/102
Alolan Ninetales,145/236
Mega Gardevoir ex,060/132
Gimmighoul,198/182
Trapinch - 2009 (David Cohen),115/132
Ho-Oh GX,21/147
Blend Energy WLFM - 2014 (Haruto Kobayashi),118/124
Togekiss C,86
Blastoise,013/095
Galarian Perrserker - SWSH008 (Prerelease) [Staff],SWSH008
Swanna,110/086
Sharpedo ex,104/107
Sonia,167/192
Blaziken,5/108
Gardevoir EX (155 Full Art),155/160
Code Card - Elite Trainer Box [Groudon],
Vulpix,001/012
Mew - 2019 (Haruki Miyamoto),76/214
Surfer,235/191
Plumeria (Full Art),145/147
Eevee (90),90/116
Great Ball,77/108
Dialga G - 2009 (Tsubasa Nakamura),7/127
Delcatty - SM132 (Prerelease),SM132
Hisuian Heavy Ball - 2022 (Sebastian Lashmet),146/189
M Houndoom EX (Full Art),154/162
Meditite,009/012
Darkrai EX - 2012 (Igor Costa),63/108
Raikou,055/162
Salamence,57/108
Banette GX,SV61/SV94
Treecko - XY36,XY36
Banette GX - 2018 (Magnus Pedersen),66/168
Espeon ex,155/131
Golem,5/97
Machop - 2010 (Michael Pramawat),86/130
Mantine - SWSH026,SWSH026
Solrock (25) - 2006 (Miska Saari),25/92
Warp Energy,147/147
Suicune,20/101
Arcanine,22/214
Basic Darkness Energy (Cracked Ice Holo),015
Hippowdon (Master Ball Pattern),053/131
Mankey,55/64
Wartortle,15/101
Origin Forme Dialga V (Alternate Full Art),177/189
Electrode,011/034
Uxie,43/146
Mimikyu - SM163,SM163
Wigglytuff GX,42/68
Venusaur (67),067/165
Baxcalibur - 019 (Prerelease),019
Mr. Mime (6),06/64
Raikou,16/132
Flygon Lv.X,105/111
Morpeko V,079/202
Canari,185/217
Unown [G] - 2009 (David Cohen),57/106
Iron Moth,028/182
Cresselia,2/106
Crabominable - SM47 (Prerelease) [Staff],SM47
Pikachu,66/236
Ampharos,78/214
Lucky Stadium,100/105
Dialga LV.X - DP17,DP17
Battle Compressor (Team Flare Gear) - 2015 (Jacob Van Wagner),92/119
Kangaskhan,6/112
Dark Magcargo,38/109
Arceus - XY116,XY116
Psychic Energy (2006-2007 League Promo),
Piplup,16/30
Lapras - SWSH051,SWSH051
Marshtomp,38/100
Multi Energy - 2004 (Chris Fulop),93/100
Sandile,216/198
Morpeko V-Union - SWSH288,SWSH288
Forretress,60/106
Reset Stamp (Secret),253/236
Latios Star,106/107
Fairy Energy (Secret),169/147
Gyarados EX,XY106
Ralts (102) - 2008 (Jason Klaczynski),102/132
Muk (13),13/62
Hisuian Zoroark VSTAR (213) (Secret),213/196
Night Stretcher,251/191
Houndoom,56/101
Parasol Lady,255/182
Raikou (13),13/64
Grimer,57/97
Silent Lab - 2015 (Alejandro Ng-Guzman),140/160
Deoxys (Delta Species),002/017
Shaymin,038/127
Giratina LV.X - DP38,DP38
Arcanine ex,032/198
Pikachu (Delta Species),013/017
Flying Pikachu VMAX,007/025
Bellossom (H5),H05/H32
Primeape,27/106
Mewtwo GX,31/68
Roxanne,GG66/GG70
Froslass - 117,117
Palkia,37/127
Raichu,36/108
Flygon,005/111
Vulpix,099/130
Pikachu (Spanish),PW 4
Murkrow - 021 (Prerelease) [Staff],021
Iron Boulder ex,207/162
Iono,269/193
Kommo-o,54/70
Charmander,2/12
Emboar,098/086
Lapras GX (Secret),151/149
Tyrunt - 070,070
Wobbuffet V (Full Art),191/202
Wigglytuff,66/124
Charizard & Braixen GX - SM230,SM230
Froslass,3/146
Yveltal GX (Secret),137/131
Pokedex (HANDY910is) - 2008 (Paul Atanassov),111/130
Latias - HGSS10 (Cracked Ice Holo),HGSS10
Hisuian Zoroark VSTAR (Secret),203/196
Oshawott (Master Ball Pattern),021/086
Slowking ex,238/193
Unown [O],69/75
M Salamence EX - XY171,XY171
Wobbuffet,RC11/RC32
Origin Forme Dialga VSTAR,198/189
Seel,041/102
Milotic,TG02/TG30
Wellspring Mask Ogerpon ex,194/167
Pikachu,208/S-P
Miraidon - 092 (Prerelease),092
Water Energy,107/110
Togekiss,9/90
The Rocket's Training Gym,104/132
Jumbo Ice Cream,109/086
Drakloak (Master Ball Pattern),072/131
Samurott,107/086
Rattata,061/102
Misty's Golduck,012/132
Sprigatito -  061,061
Sonia (Secret),203/192
Pineco,099/091
Dracozolt VMAX,059/203
Tirtouga,25/101
Maractus,002/012
Meloetta EX (Full Art),RC25/RC25
Magnemite - 2011 (Gustavo Wada),68/102
Unown (T),T/28
Conkeldurr,127/086
White Kyurem - XY128 (Prerelease) [Staff],XY128
Brock's Graveler,040/132
Makuhita,75/113
Erika's Paras,071/132
Crocalor,202/193
Team Aqua's Sealeo,4/34
Rapidash E4,47/111
Psychic Energy (2010 Unnumbered HGSS Style Non-Holo),
Origin Forme Dialga V,SWSH255
Pokemon Breeder,076/102
Poke Healer +,90/100
Morpeko V-UNION (SWSH215-218),
Togekiss (46 Delta),46/108
Sandaconda VMAX (Secret),206/198
Judge,222/182
Heatran GX - 2019 (Kaya Lichtleitner),25/236
Gligar (Delta Species),16/101
Sylveon VMAX (Secret),211/203
Squirtle (Blue Border),
Metang,21/101
Fighting Energy (#28),28/30
Archaludon ex,130/191
Code Card - Cosmic Eclipse Elite Trainer Box,
Cursed Stone - 2006 (Miska Saari),72/92
Scizor,94/149
Charizard,19/113
Toxicroak G - DP41,DP41
Horsea,49/62
Lucario & Melmetal GX - SM192,SM192
Claydol - 2010 (Michael Pramawat),15/106
Shining Raichu,111/105
Hitmonchan ex,98/109
Mewtwo EX (61),61/162
Steven's Resolve (Full Art),165/168
Psyduck,100/132
Colress - 2015 (Rowan Stavenow),118/135
Zekrom (115 Full Art Secret Rare),115/113
Gabite,59
Lycanroc GX,74/145
Tropical Beach - BW28 (Worlds 11) [Staff],BW28
Mega Eelektross ex,266/217
Palkia LV.X - 2009 (David Cohen),DP18
Dhelmise VMAX,010/072
Garchomp LV.X,97/100
Unfezant,150/086
Lairon,41/100
Virizion (Secret),103/101
Brock (15),015/132
Carracosta,28/101
Camerupt,4/109
Slowking,14/115
Magmar,036/102
Electropower,172/214
Slowbro,54/106
Misdreavus,11/64
Rayquaza - SWSH029 (Pixel Cosmos Holo),SWSH029
Hisuian Arcanine,100/167
Shuckle,11/123
Hisuian Samurott VSTAR,102/189
Typhlosion (64),064/165
Conkeldurr,81/135
M Gardevoir EX (156 Full Art),156/160
Forretress ex,212/091
Conkeldurr (Master Ball Pattern),049/086
Torchic,66/100
Duskull - 2008 (Dylan Lefavour),80/130
Toxicroak,36/123
Lotad,002/012
Mewtwo - 052,052
Hippowdon,21/100
Flygon ex (Delta Species),92/101
Galarian Zapdos V,TG19/TG30
Roserade C,40
Kabutops (6),06/75
Pelipper,50/100
Tool Scrapper - 2013 (Jason Klaczynski),116/124
Code Card - League Battle Deck [Rapid Strike Urshifu VMAX],
Beast Ring,102a/131
Energy Switch,162/202
Escape Rope (Secret),163/147
Espeon (H9),H09/H32
Entei,014/098
Quilava (Delta Species),36/101
Staraptor FB,11
Zinnia (Full Art),70/70
Nidorino,037/102
Milcery,SV057/SV122
Vaporeon,022/131
Farigiraf,228/193
Muscle Band - 2015 (Rowan Stavenow),121/146
Giacomo,267/193
Tauros,005/017
Unown [Q],49/100
Blacksmith,088a/106
Charizard - SWSH066 (Prerelease),SWSH066
Superior Energy Retrieval,189/193
Mega Sharpedo ex,061/094
Tulip,244/182
Bronzong BREAK,62/124
Corsola,37/115
Gothitelle (Master Ball Pattern),043/086
Mewtwo VSTAR (79) (Secret),079/078
Venusaur,20/132
Ninetales V,026/192
Cleffa,150/091
Gardevoir,408/SM-P
Lt. Surge's Bargain,185/132
Dottler,184/182
Eevee (89),89/116
Rapid Strike Urshifu V (Alternate Full Art),153/163
Forretress,5/95
Kangaskhan EX,78/106
Solgaleo & Lunala GX (Full Art),216/236
Nest Ball - 181/198 - 2024 (Sakuya O.),181/198
Rocky Fighting Energy,087/088
Machamp - 2010 (Michael Pramawat),20/100
Dhelmise V (Full Art),187/202
Munkidori ex,091/064
Darkrai,087/147
Togekiss,235/217
Chikorita (54),054/111
Brawly (Secret),212/198
Rare Candy - 2009 (Stephen Silvestro),102/106
Sewaddle,087/086
Chimchar - DP02,DP02
Hisuian Samurott V,GG51/GG70
Pikachu V-Union - SWSH140,SWSH140
Conkeldurr (64),64/101
Azumarill,77/114
Ditto VMAX,051/072
VS Seeker - 2015 (Rowan Stavenow),109/119
Stoutland,122/149
Challenge!,106/110
Regigigas VSTAR,GG55/GG70
Milotic,25/106
Landorus EX - 2015 (Rowan Stavenow),89/149
Mareep,075/214
Mesprit,37/101
Slaking V - 2023 (Gabriel Fernandez),058/078
Vaporeon (Poke Ball Pattern),022/131
Light Vaporeon,052/105
Altaria,2/102
Regirock ex - 2006 (Jason Klaczynski),98/101
Wishiwashi GX,63/236
Kirlia,212/198
Fennel,162/086
Snom,SV033/SV122
Team Galactic's Invention G-109 SP Radar,096/111
Blastoise ex,184/165
Absol,40/108
Jolteon,014/110
Minccino - BW13 (Cosmos Holo),BW13
Card-Flip Game (Goldenrod Game Corner),092/111
Unown [L],086/105
Empoleon,17/100
TV Reporter (Full Art),167/168
Jolteon (Team Plasma),34/116
Code Card - Rapid Strike Urshifu V Box,
Absol,21/132
Bouffalant ex,170/086
Marnie - 2022 (Rikuto Ohashi),
Tsareena V (Full Art),246/264
Skitty,44/109
Woobat,119/086
Charizard VSTAR - SWSH262,SWSH262
Ninetales - BW66,BW66
Lairon,37/109
Seel (95),095/144
Magcargo ex,95/97
Miracle Energy,016/105
Naganadel & Guzzlord GX,158/236
Lapras,36/236
Hattrem,SV055/SV122
Floatzel,037/106
Espeon GX,61/149
Basic Metal Energy - MEE 008 (Cosmos Holo),008
Crobat,23/123
Field Blower (Secret),163/145
Bellsprout,49/64
Mega Tokyo's Pikachu,98/XY-P
Frogadier,089/086
Flygon V,106/172
Appletun,SV014/SV122
Bastiodon,001/017
Swellow (72 Delta),72/108
