card_name,card_number,card_name_cleaned
Kangaskhan EX - 2014 (Michikazu Tsuda),78/106,Kangaskhan EX - 2014 (Michikazu Tsuda)
Vaporeon,41/90,Vaporeon
Lapras,071/144,Lapras
Dusknoir (17),17/100,Dusknoir
Tapu Lele,150/214,Tapu Lele
Clemont's Quick Wit,243/191,Clemont's Quick Wit
Darkrai ex (Darkrai),110,Darkrai ex (Darkrai)
Warp Point - 2010 (Michael Pramawat),88/100,Warp Point - 2010 (Michael Pramawat)
Genesect ex,067/086,Genesect ex
Miracle Sphere Alpha,129/144,Miracle Sphere Alpha
Roaring Moon ex,251/182,Roaring Moon ex
Shaymin EX - 2015 (Jacob Van Wagner),77/108,Shaymin EX - 2015 (Jacob Van Wagner)
Hawlucha,118/198,Hawlucha
Pikachu,XY95,Pikachu
Charmeleon,024/102,Charmeleon
Salamence,10/97,Salamence
Pokemon Catcher,036/039,Pokemon Catcher
Plusle,193/182,Plusle
Hydreigon ex,161/086,Hydreigon ex
Cyndaquil,54/115,Cyndaquil
Mamoswine ex,079/159,Mamoswine ex
Mareep,58/75,Mareep
Seadra,48/109,Seadra
Oshawott - BW03,BW03,Oshawott
Heatran GX (Full Art),216/236,Heatran GX (Full Art)
Teal Mask Ogerpon ex,221/167,Teal Mask Ogerpon ex
Greninja,9/18,Greninja
Cubone,057/131,Cubone
Professor Juniper - 2012 (Chase Moloney),98/108,Professor Juniper - 2012 (Chase Moloney)
Dark Rapidash,44/82,Dark Rapidash
Ting-Lu ex,127/193,Ting-Lu ex
Drifblim,24/130,Drifblim
Torterra,17/130,Torterra
Slowpoke,72/115,Slowpoke
Lusamine (Full Art),153/156,Lusamine (Full Art)
Charizard,RC5/RC32,Charizard
Tapu Fini - SM92,SM92,Tapu Fini
Team Rocket's Moltres ex,208/182,Team Rocket's Moltres ex
Dark Venusaur - 7 (Best of Game 7 Promo),007,Dark Venusaur (Best of Game 7 Promo)
Water Energy,132/132,Water Energy
Dragonite,052/108,Dragonite
Wigglytuff ex,101/101,Wigglytuff ex
Shaymin EX (106 Full Art),106/108,Shaymin EX (Full Art)
Earthen Vessel,096/064,Earthen Vessel
Simisear VSTAR,023/159,Simisear VSTAR
Pikachu V - SWSH061,SWSH061,Pikachu V
Lucario GX - SM100,SM100,Lucario GX
Mega Froslass ex,275/217,Mega Froslass ex
Arceus Lv.X (95),95/99,Arceus Lv.X
Machamp,31/130,Machamp
Zoroark (Master Ball Pattern),062/086,Zoroark (Master Ball Pattern)
Shellder,129/165,Shellder
Mawile,24/106,Mawile
Noivern BREAK,113/162,Noivern BREAK
Tentacruel,45/92,Tentacruel
Persian,042/144,Persian
______'s Pikachu,24/53,______'s Pikachu
Beldum,29/101,Beldum
Energy Retrieval,108/086,Energy Retrieval
Squirtle,64/100,Squirtle
Umbreon,10/90,Umbreon
Karen,XY177,Karen
Decidueye GX,SV47/SV94,Decidueye GX
Absol,96/95,Absol
Lugia EX,68/98,Lugia EX
Ho-Oh V,140/195,Ho-Oh V
Unfair Stamp,165/167,Unfair Stamp
Double Colorless Energy - 2012 (Igor Costa),92/99,Double Colorless Energy - 2012 (Igor Costa)
Prinplup (58) - 2008 (Dylan Lefavour),58/130,Prinplup (58) - 2008 (Dylan Lefavour)
Luxray GL LV.X,109/111,Luxray GL LV.X
Rayquaza,011/020,Rayquaza
Mega Zygarde ex,047/088,Mega Zygarde ex
Morty's Conviction,201/162,Morty's Conviction
Walrein,36/111,Walrein
Lucario GL,8/111,Lucario GL
Water Energy (2017 Unnumbered) (Wave Foil),,Water Energy (2017 Unnumbered) (Wave Foil)
Victini V,025/202,Victini V
Cynthia's Garchomp ex,241/182,Cynthia's Garchomp ex
Drapion,15/100,Drapion
Code Card - Mega Venusaur ex Premium Collection,,Code Card - Mega Venusaur ex Premium Collection
Ampharos,01/64,Ampharos
Umbreon V (Full Art),188/203,Umbreon V (Full Art)
Weakness Guard - 2004 (Kevin Nguyen),141/147,Weakness Guard - 2004 (Kevin Nguyen)
Charizard,11/108,Charizard
Inteleon V - SWSH016,SWSH016,Inteleon V
Lost Vacuum (Secret),217/196,Lost Vacuum (Secret)
Umbreon,064/116,Umbreon
Float Stone - 2017 (Kabu Fukase),137/162,Float Stone - 2017 (Kabu Fukase)
Latios,10/20,Latios
Silvally,070/084,Silvally
Pikachu & Zekrom GX (Secret),184/181,Pikachu & Zekrom GX (Secret)
Volbeat,53/100,Volbeat
Code Card - Team Rocket's Mewtwo ex League Battle Deck,,Code Card - Team Rocket's Mewtwo ex League Battle Deck
Tyranitar ex,211/197,Tyranitar ex
Nidoking,58/116,Nidoking
Dondozo,061/198,Dondozo
Spiritomb,158/091,Spiritomb
Infernape (Team Plasma),17/135,Infernape (Team Plasma)
Squirtle,112/132,Squirtle
Florges,66/106,Florges
Octillery - 2017 (Diego Cassiraga),33/162,Octillery - 2017 (Diego Cassiraga)
Clefairy,381/SM-P,Clefairy
Mew Star (Delta Species),101/101,Mew Star (Delta Species)
Champions Festival - XY27 (2014),XY27,Champions Festival (2014)
Heatran,088/156,Heatran
Crispin,171/131,Crispin
Bisharp (Team Plasma) (73),73/116,Bisharp (Team Plasma)
Dark Hypno (9),09/82,Dark Hypno
Hisuian Lilligant VSTAR,018/189,Hisuian Lilligant VSTAR
Gardevoir & Sylveon GX (Secret),225/214,Gardevoir & Sylveon GX (Secret)
Moo-Moo Milk,155/165,Moo-Moo Milk
Muscle Band - 2014 (Andrew Estrada),121/146,Muscle Band - 2014 (Andrew Estrada)
Max Elixir,102/122,Max Elixir
Genesect GX,130/214,Genesect GX
Marshadow & Machamp GX (198) (Full Art),198/214,Marshadow & Machamp GX (198) (Full Art)
Mudkip,58/100,Mudkip
Pyroar,200/193,Pyroar
Galarian Yamask,SV065/SV122,Galarian Yamask
Jellicent,31/101,Jellicent
Blacephalon GX,52/214,Blacephalon GX
Dark Haunter,036/105,Dark Haunter
Charizard V - SWSH260,SWSH260,Charizard V
Team Aqua's Poochyena,55/95,Team Aqua's Poochyena
Swalot,40/106,Swalot
Vileplume,043/147,Vileplume
Zoroark BREAK,92/162,Zoroark BREAK
Galarian Darmanitan V (Full Art),169/185,Galarian Darmanitan V (Full Art)
N's Reshiram,167/159,N's Reshiram
"Code Card - Fates Collide Theme Deck - ""Sky Guardian"" [Lugia]",,"Code Card - Fates Collide Theme Deck - ""Sky Guardian"" [Lugia]"
Castform,TG11/TG30,Castform
Rapid Strike Urshifu V (Full Art),152/163,Rapid Strike Urshifu V (Full Art)
Mewtwo GX (Full Art),72/73,Mewtwo GX (Full Art)
Houndour,204/197,Houndour
Holon Mentor,93/113,Holon Mentor
Milotic,70,Milotic
Xerneas BREAK,82/114,Xerneas BREAK
Blaine's Last Resort,105/132,Blaine's Last Resort
Sceptile GX (Full Art),196/214,Sceptile GX (Full Art)
Guzma - 2018 (Pedro Eugenio Torres),115/147,Guzma - 2018 (Pedro Eugenio Torres)
Jolteon,26/111,Jolteon
Houndoom (15),015/147,Houndoom
Giant Stump - 2007 (Tom Roos),75/92,Giant Stump - 2007 (Tom Roos)
Warp Point,93/115,Warp Point
Mantine,077/144,Mantine
Rookidee,SV101/SV122,Rookidee
Glaceon (5),5/100,Glaceon
Miraidon ex - 081/198 - 2024 (Jesse Parker),081/198,Miraidon ex - 2024 (Jesse Parker)
Aron,71/123,Aron
Lapras,8/92,Lapras
Rust Syndicate Grunt,112/084,Rust Syndicate Grunt
Florges BREAK,104/162,Florges BREAK
Incineroar GX (Secret),188/181,Incineroar GX (Secret)
Random Receiver,138/135,Random Receiver
Water Energy (2007-2008 League Promo),,Water Energy (2007-2008 League Promo)
Keldeo EX - 2013 (Clement Lamberton),49/149,Keldeo EX - 2013 (Clement Lamberton)
Iron Bundle (Holiday Calendar),062/167,Iron Bundle (Holiday Calendar)
Dragonite,119/181,Dragonite
Snivy,BW01,Snivy
Pumpkaboo,076/203,Pumpkaboo
Toxicroak,31/100,Toxicroak
Venomoth,011/102,Venomoth
Metagross,10/146,Metagross
Virizion GX (Secret),217/214,Virizion GX (Secret)
Excadrill (Secret),246/236,Excadrill (Secret)
Cynthia's Ambition,GG60/GG70,Cynthia's Ambition
Lucario (SM - Burning Shadows),71,Lucario (SM - Burning Shadows)
Groudon EX,XY42,Groudon EX
Espeon,16/100,Espeon
Shaymin,8/95,Shaymin
Rowlet - SM153,SM153,Rowlet
Team Magma's Zangoose,23/95,Team Magma's Zangoose
Galarian Articuno V,058/198,Galarian Articuno V
Pikachu,005/012,Pikachu
Chesnaught (Prerelease),XY68,Chesnaught (Prerelease)
Dedenne,SV051/SV122,Dedenne
Gogoat,019/146,Gogoat
Lurantis GX,15/149,Lurantis GX
Ilima (Full Art),146/149,Ilima (Full Art)
Drednaw VMAX,15/73,Drednaw VMAX
Samurott,39/113,Samurott
Togepi,78/101,Togepi
Buzzwole GX - SM69,SM69,Buzzwole GX
Murkrow,47/100,Murkrow
Mega Kangaskhan ex,164/132,Mega Kangaskhan ex
Wooper,81/109,Wooper
Gumshoos GX (Secret),157/149,Gumshoos GX (Secret)
Tentacool (Alpha),71/160,Tentacool (Alpha)
Umbreon GX,80/149,Umbreon GX
Unown (V),V/28,Unown (V)
Igglybuff,21/100,Igglybuff
Scizor EX (Full Art),119/122,Scizor EX (Full Art)
Giratina LV.X,124/127,Giratina LV.X
Blaziken FB Lv.X,142,Blaziken FB Lv.X
Melony,GG64/GG70,Melony
Hawlucha - 2015 (Rowan Stavenow),63/111,Hawlucha - 2015 (Rowan Stavenow)
Magcargo GX (Secret),218/214,Magcargo GX (Secret)
Skarmory (Team Plasma),87/135,Skarmory (Team Plasma)
Furret,21/123,Furret
Dark Blastoise (3),03/82,Dark Blastoise
Medicham V (Full Art),185/203,Medicham V (Full Art)
Garchomp C - 2010 (Yuta Komatsuda),60/147,Garchomp C - 2010 (Yuta Komatsuda)
White Kyurem,63/214,White Kyurem
Cynthia's Gible (ERROR),102/182,Cynthia's Gible (ERROR)
Klink (Master Ball Pattern),061/086,Klink (Master Ball Pattern)
Luxray,5/99,Luxray
Mr. Mime GX,56/168,Mr. Mime GX
Beheeyem,062/099,Beheeyem
Elesa's Sparkle (Full Art),147/159,Elesa's Sparkle (Full Art)
Klink,139/086,Klink
Rayquaza GX,177a/168,Rayquaza GX
Swellow,072/108,Swellow
Maintenance,112/130,Maintenance
Raikou & Suicune Legend (Bottom),93/95,Raikou & Suicune Legend (Bottom)
Dewgong,036/130,Dewgong
Cherubi,60/99,Cherubi
Code Card - Iono Premium Tournament Collection Box,,Code Card - Iono Premium Tournament Collection Box
Swablu (Delta Species),65/101,Swablu (Delta Species)
Skiploom,097/091,Skiploom
Giratina V - SWSH259,SWSH259,Giratina V
Phoebe (Full Art),161/163,Phoebe (Full Art)
Hypno,025/110,Hypno
Iron Valiant ex,261/182,Iron Valiant ex
Zekrom EX (97 Full Art),97/99,Zekrom EX (Full Art)
Kirlia,31/108,Kirlia
Fighting Energy (#9),9/30,Fighting Energy (#9)
Clefable ex,082/197,Clefable ex
Rampardos ex,100/084,Rampardos ex
Tyrunt,061/111,Tyrunt
Magby,24/109,Magby
Eevee & Snorlax GX - SM169,SM169,Eevee & Snorlax GX
Gyarados (#30 Holo),30/30,Gyarados (#30 Holo)
Galarian Mr. Mime,SV020/SV122,Galarian Mr. Mime
Gardevoir GX,SV75/SV94,Gardevoir GX
Dedenne,145/236,Dedenne
Spinarak,64/75,Spinarak
Scyther ex,102/109,Scyther ex
Team Rocket's Articuno,051/182,Team Rocket's Articuno
Gastly,065/105,Gastly
Tyrogue,063/147,Tyrogue
Life Forest Prism Star,180/214,Life Forest Prism Star
Kangaskhan (21),21/64,Kangaskhan
Jigglypuff,134/214,Jigglypuff
Armarouge,115/091,Armarouge
Bastiodon,021/123,Bastiodon
Zoroark,91/181,Zoroark
Lucario ex - 017,017,Lucario ex
Sabrina's Mr. Mime,059/132,Sabrina's Mr. Mime
Boost Energy,98/115,Boost Energy
Metagross,049/098,Metagross
Muscle Band - 2014 (Haruto Kobayashi),121/146,Muscle Band - 2014 (Haruto Kobayashi)
Gigalith (Master Ball Pattern),048/086,Gigalith (Master Ball Pattern)
Single Strike Urshifu VMAX (Alternate Art Secret),168/163,Single Strike Urshifu VMAX (Alternate Art Secret)
Wishiwashi GX (Full Art),133/145,Wishiwashi GX (Full Art)
Pupitar,056/147,Pupitar
Light Ledian,024/105,Light Ledian
Vaporeon,25/100,Vaporeon
Politoed (8),08/75,Politoed
Survival Brace,164/167,Survival Brace
Shiinotic,194/191,Shiinotic
Seadra,40/95,Seadra
Mawile GX (Secret),246/236,Mawile GX (Secret)
Flaaffy,034/111,Flaaffy
Raichu GL,31/111,Raichu GL
Mudkip,116,Mudkip
Darkness Energy,142/147,Darkness Energy
Magmortar,016/95,Magmortar
Plusle,6/12,Plusle
Aggron,80/124,Aggron
Nidoking,8/112,Nidoking
Dark Flaaffy,034/105,Dark Flaaffy
Lickitung,80/127,Lickitung
Steven (Full Art),95/98,Steven (Full Art)
Magneton,SV28/SV94,Magneton
Misty's Psyduck [W Stamped],054/132,Misty's Psyduck [W Stamped]
White Kyurem GX,48/70,White Kyurem GX
Evosoda - 2018 (Robin Schulz),62/83,Evosoda - 2018 (Robin Schulz)
Iono - 2025 (Yuya Okita),,Iono - 2025 (Yuya Okita)
Nest Ball,123/149,Nest Ball
Bidoof,12/30,Bidoof
Tapu Bulu,065/064,Tapu Bulu
Regice,028/111,Regice
Super Potion,090/102,Super Potion
Field Blower,125a/145,Field Blower
Revitalizer - 2017 (Kabu Fukase),70/83,Revitalizer - 2017 (Kabu Fukase)
Victini ex - 142,142,Victini ex
Wartortle,43/100,Wartortle
Leafeon VMAX (Secret),204/203,Leafeon VMAX (Secret)
Axew,145/086,Axew
Umbreon V - SWSH203,SWSH203,Umbreon V
Latias Star,105/107,Latias Star
Jolteon,TG04/TG30,Jolteon
Pokemon Reversal - 2004 (Tsuguyoshi Yamato),87/109,Pokemon Reversal - 2004 (Tsuguyoshi Yamato)
Psychic Energy - 2008 (Tristan Robinson),,Psychic Energy - 2008 (Tristan Robinson)
Weedle,069/102,Weedle
Cradily ex,90/95,Cradily ex
Thunder Mountain Prism Star - 2019 (Haruki Miyamoto),191/214,Thunder Mountain Prism Star - 2019 (Haruki Miyamoto)
Carmine,217/167,Carmine
Elgyem - BW55,BW55,Elgyem
Voltorb (64),064/147,Voltorb
Sandaconda VMAX,090/198,Sandaconda VMAX
Venusaur (DPPt Supreme Victors),013/147,Venusaur (DPPt Supreme Victors)
Umbreon - BW93,BW93,Umbreon
Dusk Mane Necrozma GX - SM102,SM102,Dusk Mane Necrozma GX
Snorlax,016/034,Snorlax
Victreebel,17/112,Victreebel
Ralts,211/198,Ralts
Zebstrika (Master Ball Pattern),032/086,Zebstrika (Master Ball Pattern)
Fan Rotom - 2025 (Yuya Okita),,Fan Rotom - 2025 (Yuya Okita)
Volcanion - XY164,XY164,Volcanion
Flareon,002/017,Flareon
Whismur,073/106,Whismur
Pheromosa & Buzzwole GX,1/214,Pheromosa & Buzzwole GX
Fezandipiti ex - 2025 (Jose Cruz Galindo-Resendiz),,Fezandipiti ex - 2025 (Jose Cruz Galindo-Resendiz)
Pokemon Collector (#22),22/30,Pokemon Collector (#22)
Shiftry,12/100,Shiftry
Darkness Energy (Special),93/109,Darkness Energy (Special)
Holon Scientist - 2007 (Tom Roos),97/113,Holon Scientist - 2007 (Tom Roos)
PlusPower - 2012 (Chase Moloney),96/114,PlusPower - 2012 (Chase Moloney)
Skuntank,13,Skuntank
Exeggcute (102 Secret Rare),102/101,Exeggcute (Secret Rare)
Poliwhirl,089/165,Poliwhirl
Mew V,113/264,Mew V
Wooper (66),066/147,Wooper
Umbreon VMAX (Alternate Art Secret),215/203,Umbreon VMAX (Alternate Art Secret)
M Audino EX - 2016 (Shintaro Ito),85/124,M Audino EX - 2016 (Shintaro Ito)
Cessation Crystal - 2007 (Akira Miyazaki),74/100,Cessation Crystal - 2007 (Akira Miyazaki)
Dark Gyarados (Prerelease),08/82,Dark Gyarados (Prerelease)
Ralts - 2017 (Diego Cassiraga),91/147,Ralts - 2017 (Diego Cassiraga)
Super Energy Removal 2,134/147,Super Energy Removal 2
Iron Hands ex,223/182,Iron Hands ex
Code Card - Ancient Origins Elite Trainer Box,,Code Card - Ancient Origins Elite Trainer Box
Lycanroc GX,82/181,Lycanroc GX
Reshiram - BW23,BW23,Reshiram
Blastoise VMAX - SWSH103,SWSH103,Blastoise VMAX
Palkia - 2009 (David Cohen),26/106,Palkia - 2009 (David Cohen)
Zweilous,147/086,Zweilous
Bulbasaur (Pokemon Day 2026),001/132,Bulbasaur (Pokemon Day 2026)
Reverse Valley,110/122,Reverse Valley
Venusaur VMAX - SWSH102,SWSH102,Venusaur VMAX
Venomoth GX (Secret),216/214,Venomoth GX (Secret)
Magnetic Metal Energy,085/086,Magnetic Metal Energy
Aromatisse (Master Ball Pattern),039/131,Aromatisse (Master Ball Pattern)
Crobat VMAX,045/072,Crobat VMAX
Munchlax,068/100,Munchlax
Light Dragonair,022/105,Light Dragonair
Morpeko V-Union - SWSH215,SWSH215,Morpeko V-Union
Flaaffy,50/132,Flaaffy
Cinderace - SWSH112 (Prerelease),SWSH112,Cinderace (Prerelease)
Metagross (50),50/98,Metagross
Kricketune V,TG12/TG30,Kricketune V
Arven's Greedent,159/182,Arven's Greedent
Lucario,61/146,Lucario
Croconaw (32),032/111,Croconaw
Altaria ex,253/182,Altaria ex
Staryu,56/64,Staryu
Dark Ivysaur - 6,006/009,Dark Ivysaur
Mega Absol ex,161/132,Mega Absol ex
Voltorb,80/109,Voltorb
Meowstic EX,37/83,Meowstic EX
Graveler,2/11,Graveler
Mudkip,011/017,Mudkip
Meowth,102/101,Meowth
Bisharp,143/086,Bisharp
Ninetales (H19),H19/H32,Ninetales (H19)
Raikou,79/214,Raikou
Zapdos ex - 033 (EX Collector's Window Tins),033,Zapdos ex (EX Collector's Window Tins)
Lightning Energy (2011 Pokemon League),,Lightning Energy (2011 Pokemon League)
Heal Energy - 2005 (Michael Gonzalez),94/107,Heal Energy - 2005 (Michael Gonzalez)
Battle Frontier - 2006 (Jason Klaczynski),75/106,Battle Frontier - 2006 (Jason Klaczynski)
Magnemite,008/012,Magnemite
Jirachi,9/107,Jirachi
Thundurus - 209 (Pokemon Center Exclusive),209,Thundurus (Pokemon Center Exclusive)
Rika,241/182,Rika
Pikachu,013/017,Pikachu
Heliolisk,229/217,Heliolisk
Vileplume - 2011 (Ross Cawthon),24/90,Vileplume - 2011 (Ross Cawthon)
Boss's Orders [Corbeau],183/217,Boss's Orders [Corbeau]
Victini V,021/163,Victini V
Blaine's Vulpix,065/132,Blaine's Vulpix
Cynthia & Caitlin (Full Art),228/236,Cynthia & Caitlin (Full Art)
Golbat,31/107,Golbat
Octillery,TG03/TG30,Octillery
Computer Error (Rocket's Secret Machine),16/53,Computer Error (Rocket's Secret Machine)
Metal Energy (Special),88/108,Metal Energy (Special)
Venusaur EX,1/83,Venusaur EX
Tauros,12/100,Tauros
Giovanni's Charisma - 161/165 - 2024 (Fernando Cifuentes),161/165,Giovanni's Charisma - 2024 (Fernando Cifuentes)
Crobat V - SWSH110,SWSH110,Crobat V
Talonflame,010/119,Talonflame
Totodile,085/105,Totodile
Water Cube 01,140/147,Water Cube 01
Fighting Energy,128/130,Fighting Energy
Hitmonchan,008/130,Hitmonchan
Holon's Voltorb - 2007 (Jun Hasebe),71/113,Holon's Voltorb - 2007 (Jun Hasebe)
Dratini,35/70,Dratini
Haunter (42),42/99,Haunter
Dragonite GX,37/70,Dragonite GX
Raikou,003/017,Raikou
Iron Thorns ex,196/167,Iron Thorns ex
Dawn Wings Necrozma - SM123,SM123,Dawn Wings Necrozma
Zorua (Master Ball Pattern),061/086,Zorua (Master Ball Pattern)
Slowpoke & Psyduck GX,35/236,Slowpoke & Psyduck GX
Marshtomp,015/017,Marshtomp
Explorer's Guidance,200/162,Explorer's Guidance
Volkner (Full Art),156/156,Volkner (Full Art)
Caitlin (Secret),213/198,Caitlin (Secret)
Natu,067/111,Natu
Vibrava,46/97,Vibrava
Victini ex,033/197,Victini ex
Raikou & Suicune Legend (Top),92/95,Raikou & Suicune Legend (Top)
Quaxwell - 083,083,Quaxwell
Professor Oak,088/102,Professor Oak
Togekiss,138/214,Togekiss
Swinub,57/64,Swinub
Salamence ex,103/107,Salamence ex
TV Reporter,011/017,TV Reporter
Rare Candy (Secret),165/145,Rare Candy (Secret)
Dedenne GX (Full Art),195/214,Dedenne GX (Full Art)
Electrode,5/101,Electrode
Charmeleon,099/097,Charmeleon
Gengar EX,34/119,Gengar EX
Pupitar,090/165,Pupitar
Dewott (Master Ball Pattern),022/086,Dewott (Master Ball Pattern)
Empoleon BREAK,XY134,Empoleon BREAK
Deoxys (Delta Species - Attack Forme),3/110,Deoxys (Delta Species - Attack Forme)
Surprise! Time Machine - 2006 (Jimmy Ballard),91/109,Surprise! Time Machine - 2006 (Jimmy Ballard)
Ho-Oh Ex (119 Full Art),119/124,Ho-Oh Ex (Full Art)
Mesprit,14/123,Mesprit
Mimikyu,112/181,Mimikyu
Recycle Energy,105/111,Recycle Energy
Gallade E4 Lv.X,106/111,Gallade E4 Lv.X
Lightning Energy (#11),11/30,Lightning Energy (#11)
Switch Raft (Secret),77/70,Switch Raft (Secret)
Darkrai EX (107 Full Art),107/108,Darkrai EX (Full Art)
